cod;Distrito;Poblacion a 1 de enero de 2020;0 a 15 años;16 a 64 años;65 años y más;80 años y más;Índice de juventud (1);Índice de Reemplazo de la Población Activa (2);Razón de progresividad (3);Edad promedio;Natalidad;Mortalidad;Crecimiento vegetativo;;Inmigración;Emigración;Migración Neta
1;01. Centro;140.473;7,77;76,56;15,67;5,16;49,62;35,17;112,9;43,89;6,6;6,86;-0,26;;109,06;40,36;68,7
2;02. Arganzuela;155.660;12,27;68,19;19,54;6,34;62,82;46,69;104,97;44,71;8,51;7,45;1,06;;52,53;31,15;21,38
3;03. Retiro;120.406;12,4;61,67;25,93;8,58;47,8;44,62;98,81;47,13;7,52;9,22;-1,7;;47,12;26,89;20,23
4;04. Salamanca;147.854;11,16;65,06;23,77;8,59;46,96;47,36;109,41;46,16;8,1;9,71;-1,61;;73,9;32,14;41,76
5;05. Chamartín;147.551;13,75;62,91;23,34;8,19;58,89;50,35;107,17;45,42;9,43;8,47;0,96;;52,51;28,6;23,91
6;06. Tetuán;161.313;11,52;69,43;19,05;7,05;60,51;53,38;112,86;43,99;8,96;8,14;0,82;;75,96;38,01;37,95
7;07. Chamberí;140.866;10,68;65,29;24,03;8,54;44,43;45,2;109,77;46,27;8,31;9,87;-1,56;;70,83;34,7;36,13
8;08. Fuencarral-El Pardo;249.973;17,88;61,25;20,87;6,14;85,69;64,19;90,05;42,99;9,9;7,35;2,55;;43,57;30,17;13,4
9;09. Moncloa-Aravaca;121.683;14,32;63,87;21,81;7,49;65,64;67,1;91,75;44,57;7,72;8,92;-1,19;;56,76;33,18;23,58
10;10. Latina;242.139;12,27;63,37;24,35;8,91;50,4;59,25;95,79;46,41;7,12;9,01;-1,89;;56,98;32,61;24,37
11;11. Carabanchel;260.196;14,54;66,66;18,8;6,98;77,35;69,75;89,37;43,33;8,23;7,76;0,47;;69,58;36,73;32,85
12;12. Usera;142.894;15,21;68,09;16,69;6,54;91,15;79,97;91,43;42,24;8,44;7,71;0,74;;67,22;36,72;30,5
13;13. Puente de Vallecas;240.867;13,73;68,72;17,55;6,69;78,25;64,39;100,78;43,13;8,58;7,83;0,75;;66,3;35,35;30,96
14;14. Moratalaz;95.614;11,57;62,47;25,96;10,22;44,55;58,44;94,77;47,65;6,53;9,57;-3,04;;40,94;25,08;15,87
15;15. Ciudad Lineal;219.867;12,51;64,83;22,65;8,58;55,25;57,66;96,95;45,78;7,3;8,39;-1,09;;57,68;31,72;25,96
16;16. Hortaleza;193.264;17,66;63,82;18,52;5,65;95,37;73,38;91,37;42,37;9,4;6,62;2,79;;48,36;31;17,37
17;17. Villaverde;154.318;16,32;66,79;16,89;6,35;96,65;82,84;93,58;41,98;9,05;7,06;1,99;;63,5;35,8;27,7
18;18. Villa de Vallecas;114.512;19,05;68,37;12,58;3,61;151,42;76,15;97,47;39,04;11,82;5,25;6,57;;50,66;33,83;16,83
19;19. Vicálvaro;74.048;17,99;67,64;14,37;4,85;125,24;99,13;73,03;41,04;7,91;5,66;2,24;;48,42;28,6;19,83
20;20. San Blas-Canillejas;161.222;15;67,61;17,39;6,79;86,27;78,81;88,81;42,45;7,35;7,84;-0,49;;53,53;31,8;21,73
21;21. Barajas;50.010;18,08;64,01;17,91;4,46;100,97;83,95;87,07;41,93;8,41;5,8;2,61;;44,27;31,1;13,17
